certamen;origen;fecha;anio;cerveceria;cerveza_ganadora;estilo;premio;medalla_base;tipo_premio;subcategoria;ciudad;pais
Australian International Beer Awards (Aiba) - Australia;Internacional;2013-09;2013;Hernando De Magallanes;Hernando;Imperial Stout;Bronce;Bronce;Beer;Style; - ;Chile
BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Água Do Monge;Saison Chardonnay;Wood Aged Sour;Oro;Oro;Beer;Style; - ;Brasil
BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Água Do Monge;Saison Gabiroba;Brett Beer;Bronce;Bronce;Beer;Style; - ;Brasil
BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Água Do Monge;Saison Niagara;Wild Beer;Plata;Plata;Beer;Style; - ;Brasil
BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Água Do Monge;Saison Pitaya;Saison;Oro;Oro;Beer;Style; - ;Brasil
BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Água Do Monge;Tripel Chardonnay;Belgian Ale;Plata;Plata;Beer;Style; - ;Brasil
BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Água Do Monge;Wee Heavy;Historical Beer;Bronce;Bronce;Beer;Style; - ;Brasil
BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Barbot Brewpub;BARBOT BACCHARIS CARQUEJA Y MIEL;Honey Beer;Bronce;Bronce;Beer;Style; - ;Uruguay
BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Barbot Brewpub;BARBOT BURTON BITTER;Esb;Bronce;Bronce;Beer;Style; - ;Uruguay
BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Barbot Brewpub;BARBOT EZPELETA SCOTTISH ALE;Scottish Export;Bronce;Bronce;Beer;Style; - ;Uruguay
BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Barbot Brewpub;BARBOT MUMBAI IPA;English Ipa;Bronce;Bronce;Beer;Style; - ;Uruguay
BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Barbot Brewpub;BARBOT QUINTÓN RUBÍ GRAPE ALE;Italian Grape Ale;Bronce;Bronce;Beer;Style; - ;Uruguay
BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Bardo Cervejaria;A BEER HAS NO NAME;Smoke Beer;Oro;Oro;Beer;Style; - ;Brasil
BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Barnia Cervejaria;BARNIA BERLINER WEISSE;Berliner Weisse;Oro;Oro;Beer;Style; - ;Brasil
BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Barnia Cervejaria;BARNIA CYBER-FRUIT KVASS;Field Beer;Plata;Plata;Beer;Style; - ;Brasil
BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Barnia Cervejaria;BARNIA PUMPKIN ALE;Pumpkin Spice Beer;Plata;Plata;Beer;Style; - ;Brasil
