certamen;origen;fecha;anio;cerveceria;cerveza_ganadora;estilo;premio;medalla_base;tipo_premio;subcategoria;ciudad;pais
World Beer Cup (WBC) - EEUU;Internacional;2012-04;2012;-;Cross of;Smoke Beer;Oro;Oro;Beer;Style;-;EEUU
CCA Copa Cervezas America - Chile;Nacional;2016-09;2016; - ;Red Ale;Irish Red Ale;Bronce;Bronce;Beer;Style; - ;Perú
CCA Copa Cervezas America - Chile;Nacional;2014-09;2014; Cerveza Kaf Eirl;Stout Mokka;Stout;Plata;Plata;Beer;Style; - ;Chile
CCA Copa Cervezas America - Chile;Nacional;2024-10;2024; Cerveza Loba;Paraiso;American Fruit Beer;Plata;Plata;Beer;Style; - ;México
Mitad del Mundo - Ecuador;Internacional;2025-07;2025; Cerveza Loba;Negra;Cacao;Bronce;Bronce;Beer;Style;Guadalajara;México
CCA Copa Cervezas America - Chile;Nacional;2017-10;2017; Cerveza Loba;Loba Paraiso;Fruit Beer;Best Style - Fruit Beer;Oro;Beer;Style; - ;México
CCA Copa Cervezas America - Chile;Nacional;2017-10;2017; Cerveza Loba;Loba Paraiso;Fruit Beer;Oro;Oro;Beer;Style; - ;México
CCA Copa Cervezas America - Chile;Chile;2018-10;2018; Cerveza Loba;Loba Paraiso;Fruit Beer;Plata;Plata;Beer;Style; - ;México
CCA Copa Cervezas America - Chile;Chile;2018-10;2018; Cerveza Loba;Loba Clandestina;Pre-Prohibition Lager;Plata;Plata;Beer;Style; - ;México
CCA Copa Cervezas America - Chile;Nacional;2016-09;2016; Cerveza Loba;LOBA STRONG SCOTCH ALE;Strong Ale;Plata;Plata;Beer;Style; - ;Brasil
CCA Copa Cervezas America - Chile;Nacional;2017-10;2017; Cerveza Loba;CERVEJA LOBA ENGLISH BARLEYWINE;Strong Ale;Bronce;Bronce;Beer;Style; - ;Brasil
Cervecera del Pacífico - Mexico;Internacional;2025-03;2025; Cerveza Loba;Blanka;Witbier;Oro;Oro;Beer;Style;Guadalajara;México
CCA Copa Cervezas America - Chile;Nacional;2017-10;2017; Cerveza Loba;BLEND BARRIL;Wood Aged Beer;Bronce;Bronce;Beer;Style; - ;Brasil
CCA Copa Cervezas America - Chile;Nacional;2016-09;2016; Cucapá;Cerveza Cucapá Hopulin Colorado;Specialty IPA;Bronce;Bronce;Beer;Style; - ;México
CCA Copa Cervezas America - Chile;Nacional;2014-09;2014; De Lunahuana;El viejo runahuanac;Fruit Beer;Bronce;Bronce;Beer;Style; - ;Perú
CCA Copa Cervezas America - Chile;Nacional;2014-09;2014; De Lunahuana;Negrita Linda;Porter;Plata;Plata;Beer;Style; - ;Perú
Copa Cerveza Austro - Ecuador;Internacional;2025-05;2025; Ecuatorial;Citrona Pale Ale;Shv Beer;Bronce;Bronce;Beer;Style; - ;Ecuador
CCA Copa Cervezas America - Chile;Nacional;2015-09;2015;Emperador;Emperador Stout;STOUT;Bronce;Bronce;Beer;Style; - ;Chile
CCA Copa Cervezas America - Chile;Nacional;2014-09;2014;Granizo;Foxy Lady;Spice/Herb/Vegetable Beer;Plata;Plata;Beer;Style; - ;Chile
CCA Copa Cervezas America - Chile;Nacional;2014-09;2014;Granizo;IRA!;Spice/Herb/Vegetable Beer;Best Style - Spice, Herb, Or Vegetable Beer;Oro;Beer;Style; - ;Chile
CCA Copa Cervezas America - Chile;Nacional;2014-09;2014;Granizo;IRA!;Spice/Herb/Vegetable Beer;Plata;Plata;Beer;Style; - ;Chile
World Beer Cup (WBC) - EEUU;Internacional;2014-04;2014;10 Barrel Brewing - Boise Pub;Power to the People;Imperial Red Ale;Bronce;Bronce;Beer;Style;Boise;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2014-04;2014;10 Barrel Brewing Co.;Cucumber Crush;Pumpkin Beer;Oro;Oro;Beer;Style;Bend;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;10 Barrel Brewing Co.;Baywindow;International Ipa;Plata;Plata;Beer;Style;Bend;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;10 Barrel Brewing Co.;Gindulgence;International Ipa;Oro;Oro;Beer;Style;Bend;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2016-04;2016;10 Barrel Brewing Co.;Brilliant;Other Strong Beer;Oro;Oro;Beer;Style;Bend;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;10 Barrel Brewing Co. - Bend;Baywindow;Dark Lager;Oro;Oro;Beer;Style;Bend;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2022-04;2022;10 Barrel Brewing Co. - Bend Pub;Money Cat;European Dark Lager;Oro;Oro;Beer;Style;Bend;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;10 Barrel Brewing Co. - Bend Pub;Cucumber Crush;Field Beer;Oro;Oro;Beer;Style;Bend;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2022-04;2022;10 Barrel Brewing Co. - Bend Pub;Cucumber Crush;Field Beer;Bronce;Bronce;Beer;Style;Bend;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;10 Barrel Brewing Co. - Bend Pub;Passionate Envy;Fruit Wheat Beer;Plata;Plata;Beer;Style;Bend;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2022-04;2022;10 Barrel Brewing Co. - Bend Pub;Brilliant;Historical Beer;Plata;Plata;Beer;Style;Bend;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;10 Barrel Brewing Co. - Bend Pub;BeeLoved;Honey Beer;Oro;Oro;Beer;Style;Bend;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2016-04;2016;10 Barrel Brewing Co. - Boise;P2P;Imperial Red Ale;Bronce;Bronce;Beer;Style;Boise;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;10 Barrel Brewing Co. - Eastside;German Sparkle Party;Extra Special Bitter;Oro;Oro;Beer;Style;Bend;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;10 Barrel Brewing Co. - Westside;Riviera;Extra Special Bitter;Plata;Plata;Beer;Style;Bend;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;10 Barrel Brewing Co. - Westside;Baywindow;Extra Special Bitter;Bronce;Bronce;Beer;Style;Bend;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;10 Barrel Brewing Co. - Westside;Ginzu;Herb & Spice Beer;Oro;Oro;Beer;Style;Bend;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;11 Below Brewing Co.;Big Mistake;Brett Beer;Oro;Oro;Beer;Style;Houston;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;12 West Brewing;Zona;International Dark Lager;Oro;Oro;Beer;Style;Mesa;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2022-04;2022;12Degree Brewing;Cactus Juice;International Ipa;Bronce;Bronce;Beer;Style;Louisville;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2016-04;2016;12Degree Brewing;Soleil Saison;Light Lager;Bronce;Bronce;Beer;Style;Louisville;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2016-04;2016;12Degree Brewing;Treachery;Light Lager;Oro;Oro;Beer;Style;Louisville;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;12Degree Brewing;Treachery;Specialty Saison;Oro;Oro;Beer;Style;Louisville;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2025-04;2025;14 Cannons;Home Run Jack;International Dark Lager;Bronce;Bronce;Beer;Style;Westlake Village;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;14 Cannons Brewing Co.;Prussian River - Baltic Porter;Strong Porter;Bronce;Bronce;Beer;Style;Westlake  Village;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;1840 Brewing Co.;I Don’t Want To Wait;Brett Beer;Bronce;Bronce;Beer;Style;Milwaukee;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2022-04;2022;1886 Brewing Co.;Record Beer;Brown Porter;Oro;Oro;Beer;Style;Orange;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;1886 Brewing Co.;Ellieigh’s ESB;Extra Special Bitter;Plata;Plata;Beer;Style;Orange;EEUU
Brussels Beer Challenge;Bélgica;2021-10;2021;1975 sas di Nicola Grande e C;Malle;Belgian Strong Ale;Silver Medal;Plata;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2019-10;2019;1975 sas di Nicola Grande e C;Witwit;DubbelWit/ Imperial White;Gold Medal;Oro;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2021-10;2021;1975 sas di Nicola Grande e C;Witwit;DubbelWit/ Imperial White;Bronze Medal;Bronce;Beer;BeerStyle;;Italia
World Beer Cup (WBC) - EEUU;Internacional;2025-04;2025;2 Towns  Ciderhouse;Imperial Bad Apple - Westward Whiskey Barrel Cider;Botanical or Spiced Cider;Bronce;Bronce;Cider;Style;Corvallis;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2025-04;2025;2 Towns Ciderhouse;2019 Pommeau;Botanical or Spiced Cider;Oro;Oro;Cider;Style;Corvallis;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2025-04;2025;21st Amendment;Lower De Boom;Extra Special Bitter;Bronce;Bronce;Beer;Style;San Leandro;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2025-04;2025;21st Amendment;Amendment Lager;International Dark Lager;Plata;Plata;Beer;Style;San Leandro;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2016-04;2016;21st Amendment Brewery;Toaster Pastry;Double Red Ale;Bronce;Bronce;Beer;Style;San Leandro;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;21st Amendment Brewery;Amendment Lager;International Dark Lager;Oro;Oro;Beer;Style;San Leandro;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;21st Amendment Brewery;El Sully;International Dark Lager;Bronce;Bronce;Beer;Style;San Leandro;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2016-04;2016;21st Amendment Brewery;Down to Earth;Session Ipa;Plata;Plata;Beer;Style;San Leandro;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2012-04;2012;21st-Amendment Brewery;Hqt;Indigenous Beer;Plata;Plata;Beer;Style;San Francisco;EEUU
CCA Copa Cervezas America - Etapa Nac.- Chile;Nacional;2022-10;2022;23 Rios;PERFECTO ATUEL;Czech Amber Lager;Bronce;Bronce;Beer;Style;Luján de Cuyo;Argentina
CCA Copa Cervezas America - Chile;Nacional;2019-10;2019;23 Rios;23 Rios Bruto Diamante;International Pale Lager;Oro;Oro;Beer;Style; - ;Argentina
CCA Copa Cervezas America - Etapa Intern.- Chile;Nacional;2022-10;2022;277 Craft Beer;Quadrupel 277;Belgian Ale;Oro;Oro;Beer;Style; - ;Brasil
CCA Copa Cervezas America - Etapa Intern.- Chile;Nacional;2022-10;2022;277 Craft Beer;Canoa Quebrada;Berliner Weisse;Bronce;Bronce;Beer;Style; - ;Brasil
CCA Copa Cervezas America - Etapa Nac.- Chile;Nacional;2022-10;2022;277 Craft Beer;Pão nosso;German Wheat Beer;Oro;Oro;Beer;Style; - ;Brasil
World Beer Cup (WBC) - EEUU;Internacional;2025-04;2025;277 Craft Beer;Canoa Quebrada;Gose;Oro;Oro;Beer;Style;Foz do Iguaçu;Brasil
World Beer Cup (WBC) - EEUU;Internacional;2025-04;2025;277 Craft Beer;Quadruppel 277;Specialty Saison;Oro;Oro;Beer;Style;Foz do Iguaçu;Brasil
Brussels Beer Challenge;Bélgica;2025-10;2025;28 Toccalmatto srls;Zona Cesarini;Pacific IPA;Bronce Medal;Bronce;Beer;BeerStyle;;Italia
World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;2SP Brewing Co.;The Russian;Scotch Ale;Plata;Plata;Beer;Style;Aston;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;3 Brasseurs;Kampot;Extra Special Bitter;Bronce;Bronce;Beer;Style;Montreal;Canadá
CCA Copa Cervezas America - Chile;Chile;2018-10;2018;3 Cordilleras;Cerveza Mestiza 3 Cordilleras;American Pale Ale;Plata;Plata;Beer;Style; - ;Colombia
CCA Copa Cervezas America - Etapa Intern.- Chile;Nacional;2022-10;2022;3 Cordilleras;3Cordilleras Dubbel;Belgian Dubbel;Bronce;Bronce;Beer;Style; - ;Colombia
Copa Tayrona - Colombia;Internacional;2025-07;2025;3 Cordilleras;3 Cordilleras K2V5;International Pilsner;Oro;Oro;Beer;Style;Bogota;Colombia
Copa Tayrona - Colombia;Internacional;2025-07;2025;3 Cordilleras;3 Cordilleras Negra;Robust Porter;Bronce;Bronce;Beer;Style;Bogota;Colombia
World Beer Cup (WBC) - EEUU;Internacional;2025-04;2025;3 Nations Brewing;Shed & Silo;Gose;Plata;Plata;Beer;Style;Carrollton;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2022-04;2022;3 Nations Brewing Co.;Devour Imperial Stout - Mexican Chocolate;Chocolate Beer;Plata;Plata;Beer;Style;Carrollton;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2016-04;2016;33 Acres Brewing Co.;33 Acres of Euphoria;Light Lager;Plata;Plata;Beer;Style;Vancouver;Canadá
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;33 Acres Brewing Co.;33 Acres of Euphoria;Specialty Saison;Bronce;Bronce;Beer;Style;Vancouver;Canadá
World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;33 Acres Brewing Co.;33 Acres of Euphoria;Specialty Saison;Plata;Plata;Beer;Style;Vancouver;Canadá
World Beer Cup (WBC) - EEUU;Internacional;2022-04;2022;33 Brewing Experiment;Baby Azacca;Hazy Pale Ale;Plata;Plata;Beer;Style;Vancouver;Canadá
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;33 Brewing Experiment;Saaz Dryhopped Saison;Saison;Oro;Oro;Beer;Style;Vancouver;Canadá
CCA Copa Cervezas America - Etapa Intern.- Chile;Nacional;2022-10;2022;3er Ciclo;Montañon;Grape Ale;Bronce;Bronce;Beer;Style; - ;Chile
CCA Copa Cervezas America - Etapa Nac.- Chile;Nacional;2022-10;2022;3er Ciclo;Montañon;Grape Ale;Oro;Oro;Beer;Style; - ;Chile
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;3rd Planet Brewing;Emulator;International Dark Lager;Oro;Oro;Beer;Style;Niceville;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2016-04;2016;4 Noses Brewing Co.;Pump Action Imperial Pumpkin Ale;Pumpkin Beer;Oro;Oro;Beer;Style;Broomfield;EEUU
Brussels Beer Challenge;Bélgica;2019-10;2019;4 Pines Brewing Company;Schwarzbier;Dark/Dunkel (including Schwarzbier);Bronze Medal;;Beer;BeerStyle;;Australia
Brussels Beer Challenge;Bélgica;2019-10;2019;4 Pines Brewing Company;Nitro Stout;Dry Stout;Silver Medal;Plata;Beer;BeerStyle;;Australia
Brussels Beer Challenge;Bélgica;2018-10;2018;4 Pines Brewing Company;4 Pines Kolsch;Kölsch;Bronze Medal;Bronce;Beer;BeerStyle;;Australia
Brussels Beer Challenge;Bélgica;2019-10;2019;4 Pines Brewing Company;Draught;Kölsch;Bronze Medal;Bronce;Beer;BeerStyle;;Australia
Brussels Beer Challenge;Bélgica;2018-10;2018;4 Pines Brewing Company;4 Pines Extra Special Bitter;Strong/Extra Special Bitter;Bronze Medal;Bronce;Beer;BeerStyle;;Australia
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;49th State Brewing;Trappist in Paradise;Historical Beer;Plata;Plata;Beer;Style;Anchorage;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2022-04;2022;49th State Brewing Co.;Sm??k Lager;Smoke Beer;Bronce;Bronce;Beer;Style;Anchorage;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;49th State Brewing Co. - Denali National Park;Smoked Marzen;Smoke Beer;Oro;Oro;Beer;Style;Denali National Park;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2022-04;2022;5 Branches Brewing;Doggin Wrench;Oatmeal Stout;Oro;Oro;Beer;Style;Tarpon Springs;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2014-04;2014;5 Rabbit Cerveceria;5 Lizard Latin Style Witbier;Fruit Wheat Beer;Bronce;Bronce;Beer;Style;Bedford Park;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2014-04;2014;5, Krönleins Bryggeri;Stockholm Fine Festival Beer 3;Pumpkin Beer;Bronce;Bronce;Beer;Style;Halmstad;Suecia
Brussels Beer Challenge;Bélgica;2022-10;2022;50&50 Craft Brewery;Graziella;Speciality beer: Italian Grape Ale;Bronze Medal;Bronce;Beer;BeerStyle;;Italia
World Beer Cup (WBC) - EEUU;Internacional;2014-04;2014;51 North Brewery;Wind Walker Brown;Extra Special Bitter;Oro;Oro;Beer;Style;Lake Orion;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;603 Brewery;Summatime;Session Ipa;Bronce;Bronce;Beer;Style;Londonderry;EEUU
