id;certamen;origen;fecha;anio;cerveceria;cerveza_ganadora;estilo;premio;medalla_base;tipo_premio;subcategoria;ciudad;pais
1;CCA Copa Cervezas America - Chile;Nacional;2023-10;2023;7 Vidas; - ; - ;Best Brew - Oro - Copa;Oro;Brew.;Pais; - ;Perú
2;CCA Copa Cervezas America - Chile;Nacional;2024-10;2024;7 Vidas; - ; - ;Best Brew - Perú;Oro;Brew.;Pais; - ;Perú
3;CCA Copa Cervezas America - Chile;Nacional;2023-10;2023;Agua Do Monge Cervejaria; - ; - ;Best Brew - Brasil;Oro;Brew.;Pais; - ;Brasil
4;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Astor Birra; - ; - ;Best Brew - Copa;Oro;Brew.;Cup; - ;Argentina
5;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Astor Birra; - ; - ;Best Brew - Argentina;Oro;Brew.;Pais; - ;Argentina
6;CCA Copa Cervezas America - Chile;Nacional;2019-10;2019;Backer; - ; - ;Best Brew - Oro - Brasil;Oro;Brew.;Pais;Brasil;Brasil
7;CCA Copa Cervezas America - Chile;Nacional;2019-10;2019;Backer; - ; - ;Best Brew - Oro - Copa;Oro;Brew.;Pais;Brasil;Brasil
8;CCA Copa Cervezas America - Chile;Nacional;2023-10;2023;Brew. Center; - ; - ;Best Brew - Bronce - Copa;Bronce;Brew.;Cup; - ;Brasil
9;CCA Copa Cervezas America - Chile;Nacional;2023-10;2023;Brew. Center; - ; - ;Best Brew - Plata - Chile;Plata;Brew.;Pais; - ;Brasil
10;CCA Copa Cervezas America - Chile;Nacional;2023-10;2023;Brew. Center; - ; - ;Best Brew - Brasil;Oro;Brew.;Pais; - ;Brasil
11;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Cerveceria Artesanal De Colima; - ; - ;Best Brew - Mexico;Oro;Brew.;Pais; - ;México
12;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Cervejaria Artesanal Pratinha; - ; - ;Best Brew - Copa;Oro;Brew.;Cup; - ;Brasil
13;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Cervejaria Artesanal Pratinha; - ; - ;Best Brew - Brasil;Oro;Brew.;Pais; - ;Brasil
14;CCA Copa Cervezas America - Chile;Nacional;2023-10;2023;Cervejaria Campinas; - ; - ;Best Brew - Brasil;Oro;Brew.;Pais; - ;Brasil
15;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Cervejaria Colorado; - ; - ;Best Brew - Brasil;Oro;Brew.;Pais; - ;Brasil
16;CCA Copa Cervezas America - Chile;Nacional;2017-10;2017;Cervejaria Imigracao; - ; - ;Best Brew - Brasil;Oro;Brew.;Pais; - ;Brasil
17;CCA Copa Cervezas America - Chile;Nacional;2023-10;2023;Cervejaria Karsten; - ; - ;Best Brew - Oro - Chile;Oro;Brew.;Pais; - ;Brasil
18;CCA Copa Cervezas America - Chile;Nacional;2023-10;2023;Cervejaria Karsten; - ; - ;Best Brew - Plata - Copa;Plata;Brew.;Pais; - ;Brasil
19;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Cia. Cervecera Hercules; - ; - ;Best Brew - Mexico;Oro;Brew.;Pais; - ;México
20;CCA Copa Cervezas America - Chile;Nacional;2019-10;2019;Cia. Cervecera Hercules; - ; - ;Best Brew - Oro - México;Oro;Brew.;Pais; - ;México
21;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Daredevil Brew. Co.; - ; - ;Best Brew - EEUU;Oro;Brew.;Pais; - ;EEUU
22;CCA Copa Cervezas America - Chile;Nacional;2016-09;2016;Dos Medallas De Oros, Una De Plata Y Dos De Bronces; - ; - ;Best Brew - Brasil;Oro;Brew.;Pais; - ;Brasil
23;CCA Copa Cervezas America - Chile;Nacional;2023-10;2023;El Regreso; - ; - ;Best Brew - Chile;Oro;Brew.;Pais; - ;Chile
24;CCA Copa Cervezas America - Chile;Nacional;2023-10;2023;Escondido Brew.; - ; - ;Best Brew - Bronce;Bronce;Brew.;Cup; - ;Argentina
25;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Firestone Walker Brew. Co.; - ; - ;Best Brew - EEUU;Oro;Brew.;Pais; - ;EEUU
26;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Founders Brew. Co.; - ; - ;Best Brew - Copa;Oro;Brew.;Cup; - ;EEUU
27;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Founders Brew. Co.; - ; - ;Best Brew - EEUU;Oro;Brew.;Pais; - ;EEUU
28;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Freya Brew. Co.; - ; - ;Best Brew - Mexico;Oro;Brew.;Pais; - ;México
29;CCA Copa Cervezas America - Chile;Nacional;2023-10;2023;Greed Brew. Co.; - ; - ;Best Brew - Oro - Chile;Oro;Brew.;Pais; - ;Chile
30;CCA Copa Cervezas America - Chile;Nacional;2019-10;2019;Hasta Pronto Brew. Co.; - ; - ;Best Brew - Oro - Chile;Oro;Brew.;Pais; - ;Chile
31;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Juguetes Perdidos; - ; - ;Best Brew - Argentina;Oro;Brew.;Pais; - ;Argentina
32;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Kross; - ; - ;Best Brew - Chile;Oro;Brew.;Pais; - ;Chile
33;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;La Espera; - ; - ;Best Brew - Chile;Oro;Brew.;Pais; - ;Chile
34;CCA Copa Cervezas America - Chile;Nacional;2017-10;2017;Minga; - ; - ;Best Brew - Argentina;Oro;Brew.;Pais; - ;Argentina
